id,instagram,youtube,facebook,twitter,total
justin bieber,104782232,43531256,77372351,105068716,330754555
taylor swift,114372645,32380560,72193070,83273180,302219455
selena gomez,146374129,20583340,61182590,57118159,285258218
katy perry,75871024,32450841,67480803,106959962,282762630
ariana grande,146546624,33237612,32975000,61049293,273808529
rihanna,67978213,31361101,79750007,89726087,268815408
shakira,55986489,24708939,101556490,50977347,233229265
beyonce,125101685,17984913,62219752,14873106,220179456
jennifer lopez,87006642,10353774,44213095,43514120,185087631
lady gaga,34125230,12487837,59227871,78007600,183848538
miley cyrus,85322917,12164860,44533159,41440328,183461264
nicki minaj,99601250,18286961,41467397,20484942,179840550
eminem,24972463,36252581,87828237,22496536,171549817
justin timberlake,54089343,7884093,37757919,64777896,164509251
bruno mars,21774986,24056505,56694057,42425257,144950805
drake,53860024,17603987,35358072,37949898,144771981
adele,31955038,19110396,63514177,27882607,142462218
chris brown,51165432,15650010,42073042,29790160,138678644
britney spears,21715172,6437232,38047089,56492210,122691703
wiz khalifa,25666671,17593167,40228048,33676167,117164053
